order_date,order_id,product,category,region,quantity,unit_price
2025-01-03,SO-1001,Apex Laptop,Computers,West,3,1299.00
2025-01-05,SO-1002,Vertex Monitor,Accessories,East,7,249.00
2025-01-07,SO-1003,Orbit Keyboard,Accessories,South,12,89.00
2025-01-12,SO-1004,Atlas Desk,Furniture,North,4,459.00
2025-01-19,SO-1005,Swift Mouse,Accessories,West,15,39.00
2025-02-02,SO-1006,Apex Laptop,Computers,East,2,1299.00
2025-02-06,SO-1007,Cloud Chair,Furniture,South,6,319.00
2025-02-10,SO-1008,Vertex Monitor,Accessories,West,10,249.00
2025-02-18,SO-1009,Nova Tablet,Computers,North,5,699.00
2025-02-24,SO-1010,Orbit Keyboard,Accessories,East,9,89.00
2025-03-04,SO-1011,Apex Laptop,Computers,South,4,1299.00
2025-03-08,SO-1012,Atlas Desk,Furniture,West,5,459.00
2025-03-15,SO-1013,Nova Tablet,Computers,East,8,699.00
2025-03-20,SO-1014,Swift Mouse,Accessories,North,21,39.00
2025-03-28,SO-1015,Cloud Chair,Furniture,West,7,319.00
2025-04-03,SO-1016,Vertex Monitor,Accessories,South,13,249.00
2025-04-09,SO-1017,Apex Laptop,Computers,North,3,1299.00
2025-04-13,SO-1018,Orbit Keyboard,Accessories,West,18,89.00
2025-04-21,SO-1019,Nova Tablet,Computers,South,6,699.00
2025-04-27,SO-1020,Atlas Desk,Furniture,East,4,459.00
2025-05-02,SO-1021,Cloud Chair,Furniture,North,8,319.00
2025-05-07,SO-1022,Swift Mouse,Accessories,East,28,39.00
2025-05-12,SO-1023,Vertex Monitor,Accessories,West,14,249.00
2025-05-17,SO-1024,Apex Laptop,Computers,South,5,1299.00
2025-05-23,SO-1025,Nova Tablet,Computers,West,7,699.00
2025-06-01,SO-1026,Orbit Keyboard,Accessories,North,20,89.00
2025-06-06,SO-1027,Atlas Desk,Furniture,South,6,459.00
2025-06-11,SO-1028,Cloud Chair,Furniture,East,9,319.00
2025-06-18,SO-1029,Apex Laptop,Computers,West,4,1299.00
2025-06-24,SO-1030,Vertex Monitor,Accessories,North,11,249.00
